Stress Score,Transcription Factors,Male Score,Female Score
,Nr1i2,,
,Zfhx3,,
,Mef2d,,
,Foxn4,,
,Zfp354c,,
,Zfp934,,
,Irf9,,
,Zfp397,,
,Myf5,,
,Mlxipl,,
,Id3,,
,Tfe3,,
,Mef2b,,
,Zfp219,,
,Zfp458,,
,Ehf,,
,Zfp994,,
,Rfx4,,
,Npas1,,
,Rere,,
,Pias1,,
,Hlf,,
,Gm14139,,
,Zfp65,,
,Klf10,,
,Zglp1,,
,Zbed4,,
,Zfp930,,
,Isl2,,
,Rarg,,
,Zfp960,,
,Zfp809,,
,Bhlhe41,,
,Nr2c1,,
,Gm4631,,
,Hoxa5,,
,Zfp292,,
,Sox8,,
,Maff,,
,BC024063,,
,Gm2004,,
,5430403G16Rik,,
,Creb5,,
,Crxos,,
,Gm10139,,
,Msx3,,
,Gcfc2,,
,Zfp641,,
,Arid1a,,
,Zfp607a,,
,Eomes,,
,Arid2,,
,Nr0b1,,
,Hoxa13,,
,Gm49345,,
,Bhlhe23,,
,Gm21060,,
,Ppara,,
,Litaf,,
,Zscan5b,,
,Rhox2a,,
,Nfe2l1,,
,L3mbtl1,,
,Klf15,,
,Zfp799,,
,Etv6,,
,Zfp592,,
,Gm28168,,
,Zfp263,,
,Gm21411,,
,Zfp950,,
,Crx,,
,Zfp213,,
,Gsx2,,
,Zfp30,,
,Irf6,,
,Zfp345,,
,Zfp474,,
,Arid4b,,
,Nfix,,
,Creb3l4,,
,Zfp967,,
,Olig2,,
,Wiz,,
,Cdx4,,
,Zmiz2,,
,Zfp735,,
,Zfp189,,
,Prdm10,,
,Zbtb6,,
,Lcorl,,
,Gsc,,
,Hoxb5,,
,Zfp422,,
,Tbx4,,
,Mesp1,,
,Zbed6,,
,Ubtf,,
,Tbx6,,
,Zfp108,,
,Rax,,
,Prop1,,
,Nfxl1,,
,Dbp,,
,Mtf1,,
,Foxk2,,
,Gm6020,,
,Trp53,,
,Mysm1,,
,Esr2,,
,Zfp251,,
,Nkx2-5,,
,Zfp1,,
,Zfp354a,,
,Gm3604,,
,Etv4,,
,Zfp85,,
,Zscan2,,
,Sp4,,
,Hoxb4,,
,Ascl2,,
,Zbtb37,,
,Six4,,
,Nkx6-1,,
,Thap1,,
,Zfp101,,
,Rel,,
,Lrrfip1,,
,Zfp39,,
,Gm44505,,
,Alx3,,
,Prdm6,,
,Foxc1,,
,Nr1h2,,
,2210418O10Rik,,
,E430018J23Rik,,
,Vsx1,,
,Hoxa2,,
,Zfp944,,
,Gm14308,,
,Zfp518b,,
,Tfdp1,,
,Zscan4-ps2,,
,Dlx4,,
,Sp5,,
,Lhx8,,
,Zfp740,,
,Zfp658,,
,Gfi1,,
,Ascl1,,
,Ttf1,,
,Rhox3a2,,
,Rhox4e,,
,Dlx1,,
,Zbtb49,,
,Nr6a1,,
,Atf2,,
,Zfp574,,
,Thrb,,
,Osr2,,
,Arid5b,,
,Zfp956,,
,Zfp677,,
,Rhox8,,
,Hoxc12,,
,Zkscan7,,
,Foxd4,,
,Nr2f1,,
,Foxa1,,
,Zfp35,,
,Tbx5,,
,Zfp235,,
,Junb,,
,Zfp937,,
,Ybx3,,
,Zfp61,,
,Sox11,,
,Rfx2,,
,Prdm12,,
,Zfp668,,
,Gm14406,,
,Mbd1,,
,Zfp382,,
,Tshz2,,
